id,rule_desc,template,cron_expression,last_run,is_active
1.0,Shareholding data - Processed companies,"select time_map from generic_data

SELECT 
    key AS stock_symbol, 
    (time_map->>key)::timestamp::date AS date_value, 
    (time_map->>key)::timestamp::time AS time_value, 
    cp.market_cap
FROM generic_data gd,
    LATERAL jsonb_each_text(gd.time_map) AS json_data(key, value)
JOIN company_profiles cp 
    ON json_data.key = cp.stock_symbol
ORDER BY cp.market_cap DESC;",0 0 * * *,,TRUE
2.0,Total Shareholding - stock specific,"SELECT 
  stock_symbol, 
  date_header,
  ROUND(COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS promoter_shareholding_percentage,
  ROUND(COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS public_shareholding_percentage,
  ROUND(
    (COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
     COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0)), 
    2
  ) AS total_shareholding_percentage,
  ROUND((COALESCE((shareholding_pattern::json ->> 'NumberOfShares')::numeric, 0) / 10000000), 2) AS number_of_shares_in_crore,
  COALESCE((shareholding_pattern::json ->> 'NumberOfShareholders')::numeric, 0) AS number_of_shareholders,
  ROUND(COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'Indian' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS indian,
  ROUND(COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'Foreign' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS foreign,
  ROUND(COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'InstitutionsDomestic' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS institutions_domestic,
  ROUND(COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'InstitutionsForeign' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS institutions_foreign,
  ROUND(COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'Goverments' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS govt,
  ROUND(COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'NonInstitutions' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS non_institutions,
  ROUND(COALESCE((axis_summaries::json -> 'SharesHeldByNonPromoterNonPublicShareholders' -> 'SharesHeldByNonPromoterNonPublicShareholders' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0), 2) AS non_promoter_institutions,
  ROUND(
    (
      COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'Indian' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'ShareholdingOfPromoterAndPromoterGroup' -> 'Foreign' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'InstitutionsDomestic' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'InstitutionsForeign' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'Goverments' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'PublicShareholding' -> 'NonInstitutions' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0) +
      COALESCE((axis_summaries::json -> 'SharesHeldByNonPromoterNonPublicShareholders' -> 'SharesHeldByNonPromoterNonPublicShareholders' -> 'aggregates' ->> 'ShareholdingAsAPercentageOfTotalNumberOfShares')::numeric, 0)
    ), 
    2
  ) AS total_shareholding_breakdown
FROM public.shareholder_summaries 
WHERE stock_symbol = 'RELIANCE'  
ORDER BY to_date DESC;",0 0 * * *,,TRUE
3.0,"Shareholding Analysis
XBRL","SELECT * FROM utils.company_exchange_xbrls WHERE stock_symbol = 'M&MFIN' ORDER BY to_date(""to_date"", 'DD-MON-YYYY') DESC;",0 0 * * *,,TRUE
4.0,Shareholding Histories,"SELECT 
    shoh.stock_symbol, 
    shoh.shareholder_id, 
    sh.name,
    shoh.pct_of_ownership,
	shoh.updated_at, 
	shoh.date_header, 
    shoh.number_of_shares, 
    shoh.investment_value, 
    shoh.pct_change, 
    shoh.holdings
FROM public.share_ownership_histories shoh
JOIN public.shareholders sh 
ON shoh.shareholder_id = sh.Id
WHERE shoh.stock_symbol = 'BHAGCHEM' 
AND shoh.date_header in ('Sep 2022') 
--AND shoh.shareholder_id = '59755' 
AND shoh.pct_of_ownership <> '0'
ORDER BY shoh.pct_of_ownership DESC;",0 0 * * *,,TRUE
5.0,Current ownership,"select stock_symbol, shareholder_id,
to_date, date_header, pct_of_ownership, holdings 
from share_ownerships where 
stock_symbol = 'RELIANCE'
AND pct_of_ownership <> '0'
order by pct_of_ownership desc",0 0 * * *,,TRUE
6.0,Superinvestor Analysis,"SELECT * FROM public.shareholders where parent_investor = '59755'
SELECT * FROM public.shareholders WHERE name ILIKE '%jhun%' and parent_investor not in ('59755');
SELECT * FROM public.share_ownership_histories where shareholder_id = '60543' 
SELECT * FROM public.shareholders where super_investor_ind = 'true'

SELECT id, name, super_investor_ind, parent_investor, exclusion_overrides, shareholding_axis
FROM public.shareholders where parent_investor = '59755'

SELECT * FROM public.shareholders 
WHERE (name ILIKE '%gov%' and name ILIKE '%sing%') and parent_investor is null",0 0 * * *,,TRUE
7.0,"Superinvestor Data 
Current view","SELECT 
    so.stock_symbol, 
    so.shareholder_id, 
    so.date_header, 
    so.number_of_shares, 
    so.investment_value, 
    so.pct_of_ownership, 
    so.pct_change, 
    so.holdings 
FROM public.share_ownerships so
WHERE so.shareholder_id = '59752' 
	AND pct_of_ownership <> '0'
ORDER BY so.pct_of_ownership desc",0 0 * * *,,TRUE
8.0,Superinvestor % change,"SELECT 
    shoh.stock_symbol, 
    shoh.shareholder_id, 
    sh.name,
    shoh.pct_of_ownership, 
    shoh.date_header, 
    shoh.number_of_shares, 
    shoh.investment_value, 
    shoh.pct_change, 
    shoh.holdings
FROM public.share_ownership_histories shoh
JOIN public.shareholders sh 
ON shoh.shareholder_id = sh.Id
WHERE shoh.stock_symbol = 'CRISIL' 
AND shoh.date_header in ('Sep 2024','Dec 2024','Jun 2024') 
AND shoh.pct_of_ownership <> '0'
AND shareholder_id = '59755'
ORDER BY shoh.pct_of_ownership DESC;",0 0 * * *,,TRUE
9.0,Shares change in % by quarter,"SELECT
  to_date,
  stock_symbol,
  ROUND(
    100.0 * (
      (
        (shareholding_pattern->>'NumberOfShares')::BIGINT - 
        LAG((shareholding_pattern->>'NumberOfShares')::BIGINT) OVER (PARTITION BY stock_symbol ORDER BY to_date DESC)
      )::NUMERIC
      /
      NULLIF(LAG((shareholding_pattern->>'NumberOfShares')::BIGINT) OVER (PARTITION BY stock_symbol ORDER BY to_date DESC), 0)
    ), 2
  ) AS PercentageIncreaseInNumberOfShares,
  ROUND((shareholding_pattern->>'NumberOfShares')::NUMERIC / 10000000, 2) AS NumberOfSharesInCrore,
  (shareholding_pattern->>'NumberOfShareholders')::BIGINT AS NumberOfShareholders,
  (shareholding_pattern->>'NumberOfVotingRights')::BIGINT AS NumberOfVotingRights,
  shareholding_pattern->>'NumberOfSharesOriginal' AS NumberOfSharesOriginal,
  (shareholding_pattern->>'PercentageOfTotalVotingRights')::NUMERIC AS PercentageOfTotalVotingRights,
  (shareholding_pattern->>'NumberOfFullyPaidUpEquityShares')::BIGINT AS NumberOfFullyPaidUpEquityShares,
  (shareholding_pattern->>'NumberOfEquitySharesHeldInDematerializedForm')::BIGINT AS NumberOfEquitySharesHeldInDematerializedForm,
  (shareholding_pattern->>'NumberOfVotingRightsHeldBySameClassOfSecurities')::BIGINT AS NumberOfVotingRightsHeldBySameClassOfSecurities,
  (shareholding_pattern->>'NumberOfSharesUnderlyingOutstandingDepositoryReceipts')::BIGINT AS NumberOfSharesUnderlyingOutstandingDepositoryReceipts
FROM
  shareholder_summaries
WHERE
  stock_symbol = 'RELIANCE'
ORDER BY
  to_date DESC;",0 0 * * *,,TRUE
10.0,,"SELECT * FROM utils.company_exchange_xbrls where stock_symbol = 'TORNTPOWER' and period = 'Annual'
(bse_sh_broadcast_dt >= '2025-05-15' OR bse_fi_broadcast_dt >= '2025-05-15' OR nse_sh_broadcast_date >= '2025-05-15' or nse_broadcast_date >= '2025-05-15')
ORDER BY bse_sh_broadcast_dt desc LIMIT 100

SELECT * FROM utils.split_bonus_utils where stock_symbol = 'BEARDSELL' --comments = 'R3'
--UPDATE utils.split_bonus_utils SET comments = NULL WHERE --comments = 'R3'; No impact row
--SELECT * FROM utils.company_exchange_xbrls where stock_symbol = 'BEARDSELL' ORDER BY id DESC and period = 'Annual'
--SELECT * FROM utils.split_bonus_utils where corp_action = 'NK' and stock_symbol is null  ilike '%xbrl%'
--R4 - Run for XBRL

--SELECT * FROM utils.split_bonus_utils where denominator = '0'",0 0 * * *,,TRUE
